Hour,Load (kW),Solar Generation (kW),Cost of energy Import ($/kWh),Value of energy export ($/kWh),Car plugged p(t),Car consumption (kWh),Emissions (gCO2e/kWh)
1,0.4,0,0.2,0.08,1,0,741.05
2,1.92,0,0.2,0.08,1,0,745.535
3,0.63,0,0.2,0.08,1,0,751.775
4,1.41,0,0.2,0.08,1,0,756.105
5,1.68,0,0.2,0.08,1,0,752.685
6,1.08,0,0.2,0.08,1,0,743.07
7,4.53,0,0.4,0.08,0,4,714.36
8,7.61,0.07,0.4,0.08,0,0,647.505
9,3.91,1.23,0.4,0.08,0,0,546.475
10,0.98,4.84,0.3,0.08,0,0,472.02
11,2.18,6.3,0.3,0.08,0,4,430.24
12,1.71,6.94,0.3,0.08,1,0,390.62
13,1.87,6.94,0.3,0.08,1,0,386.115
14,0.48,6.35,0.3,0.08,0,4,407.245
15,3.81,5.08,0.3,0.08,0,0,443.99
16,2.76,3.21,0.3,0.08,0,0,467.9
17,0.78,0.98,0.4,0.08,0,4,531.33
18,1.93,0.02,0.4,0.08,1,0,636.725
19,1.88,0,0.4,0.08,1,0,660.81
20,2.08,0,0.3,0.08,1,0,650.095
21,2,0,0.3,0.08,0,2,653.99
22,0.88,0,0.2,0.08,0,2,658.845
23,0.63,0,0.2,0.08,1,0,670.62
24,0.4,0,0.2,0.08,1,0,671.47
